Item Number,Item Name,Department,Selling Price,Quantity
140,4L Basco grey oxide primer light,Paint,,5
141,4L VS1 Vinly Silk Duracoat,Paint,2500,
142,4L VS2 Vinly Silk Duracoat,Paint,2500,
143,4L VS3 Vinly Silk Duracoat,Paint,2500,
144,4L VS4 Vinly Silk Duracoat,Paint,2500,
145,4L VS5 Vinly Silk Duracoat,Paint,2500,
146,4L VSYLW Vinly Silk Duracoat,Paint,2500,
147,4L VSYOX Vinly Silk Duracoat,Paint,2500,
148,1L VS1 Vinly Silk Duracoat,Paint,800,
149,1L VS2 Vinly Silk Duracoat,Paint,800,
150,1L VS3 Vinly Silk Duracoat,Paint,800,
151,1L VS4 Vinly Silk Duracoat,Paint,800,
152,1L VS5 Vinly Silk Duracoat,Paint,800,
153,1L VSYLW Vinly Silk Duracoat,Paint,800,
154,1L VSYOX Vinly Silk Duracoat,Paint,800,
155,4L SE1 Silcone Exterior Emulsion Duracoat,Paint,3100,
156,4L SE2 Silcone Exterior Emulsion Duracoat,Paint,3100,
157,4L SE3 Silcone Exterior Emulsion Duracoat,Paint,3100,
158,4L SE4 Silcone Exterior Emulsion Duracoat,Paint,3100,
159,4L SE5 Silcone Exterior Emulsion Duracoat,Paint,3100,
160,4L SEYLW Silcone Exterior Emulsion Duracoat,Paint,3100,
161,4L SEYOX Silcone Exterior Emulsion Duracoat,Paint,3100,
162,1L SE1 Silcone Exterior Emulsion Duracoat,Paint,950,
163,1L SE2 Silcone Exterior Emulsion Duracoat,Paint,950,
164,1L SE3 Silcone Exterior Emulsion Duracoat,Paint,950,
165,1L SE4 Silcone Exterior Emulsion Duracoat,Paint,950,
166,1L SE5 Silcone Exterior Emulsion Duracoat,Paint,950,
167,1L SEYLW Silcone Exterior Emulsion Duracoat,Paint,950,
168,1L SEYOX Silcone Exterior Emulsion Duracoat,Paint,950,
169,4L Brilliant White Basco,Paint,,7
170,4L Cream 30-40 superfast Duracoat,Paint,1050,
171,4L Brilliant white Superfast Duracoat,Paint,1050,
172,4L Softwhite Superfast Duracoat,Paint,1050,
173,1L Brilliant White Basco,Paint,,
174,1L Cream 30-40 superfast Duracoat,Paint,500,
175,1L Brilliant white Superfast Duracoat,Paint,500,
176,1L Softwhite Superfast Duracoat,Paint,500,
177,Lipping per metre,,15,
178,Lipping Roll,,1100,
179,1 Screw Cover,,10,
180,7.5M Measuring Tape,,250,
181,500ML Standard Thinner Crystal,paint,,
182,1L Standard Thinner Crystal,paint,,
183,5L Standard Thinner Crystal,paint,,
184,500ML White spirit Crystal,paint,,
185,1L White spirit Crystal,paint,350,
186,5L White spirit Crystal,paint,1450,
187,500ML Mineral turpentine Crystal,paint,,
188,1L Mineral turpentine Crystal,paint,,
189,5L Mineral turpentine Crystal,paint,,
190,500ML Standard Thinner Solai,paint,,
191,1L Standard Thinner Solai,paint,,
192,5L Standard Thinner Solai,paint,,
193,500ML White spirit Solai,paint,,
194,1L White spirit Solai,paint,350,
195,5L White spirit Solai,paint,1450,
196,500ML Mineral turpentine Solai,paint,,
197,1L Mineral turpentine Solai,paint,,
198,5L Mineral turpentine Solai,paint,,
199,500ML Standard Thinner DuraCoat,paint,,
200,1L Standard Thinner DuraCoat,paint,,
201,5L Standard Thinner DuraCoat,paint,,
202,500ML White spirit DuraCoat,paint,,
203,1L White spirit DuraCoat,paint,350,
204,5L White spirit DuraCoat,paint,1450,
205,500ML Mineral turpentine DuraCoat,paint,,
206,1L Mineral turpentine DuraCoat,paint,,
207,5L Mineral turpentine DuraCoat,paint,,
208,500ML Standard Thinner Crown,paint,,
209,1L Standard Thinner  Crown,paint,,
210,5L Standard Thinner  Crown,paint,,
211,500ML White spirit  Crown,paint,,
212,1L White spirit  Crown,paint,,
213,5L White spirit  Crown,paint,1450,
214,500ML Mineral turpentine  Crown,paint,,
215,1L Mineral turpentine  Crown,paint,,
216,5L Mineral turpentine  Crown,paint,,
217,4L Gloss Enamel Gun Metal united,paint,,
218,4L Gloss Enamel Metal Grey united,paint,,
219,4L Gloss Enamel White united,paint,,
220,4L Gloss Enamel Black united,paint,,
221,1L Gloss Enamel Gun Metal united,paint,,
222,1L Gloss Enamel Metal Grey united,paint,,
223,1L Gloss Enamel Black  united,paint,,
224,1L Gloss Enamel White united,paint,,
225,4 L Plastic Emulsion White United,paint,,
226,4 L plastic Emulsion soft white United,paint,,
227,4 L Plastic Emulsion cream United,paint,,
228,1 L Plastic Emulsion White  United,paint,,
229,1 L Plastic Emulsion soft white United,paint,,
230,1 L Plastic Emulsion Cream  United,paint,,
231,4L White Covermatt Emulsion unicolor,paint,1100,
232,1L Synthetic Varnish Solai,paint,,
233,4L Synthetic Varnish Solai,paint,,
234,Sand paper Roll P100,,1700,
235,Sand paper Roll P120,,1700,
236,Sand paper Roll P80,,1700,
237,Sand paper Roll P60,,1700,
238,Sand paper Roll P40,,1700,
239,Sand Paper per Mtr,,100,
240,Sand Paper per ft,,30,
241,1L Clear Vanish Chupa,,,
242,500ML Clear Vanish Chupa,,,
243,1L Mahogany Varnish Chupa,,,
244,500ML Mahogany Varnish Chupa,,,
245,1L Shellac Varnish Chupa,,,
246,500ML Shellac Varnish Chupa,,,
247,1/2L NC Clear Varnish Solai,,,
248,1L NC Clear Varnish Solai,,,
249,4L NC Clear Varnish Solai,,,
250,1/2L Sanding Sealer Varnish Solai,,,
251,1L Sanding Sealer Varnish Solai,,,
252,4L Sanding Sealer Varnish Solai,,,
253,4L Body Filler/ crystal filler,,,2
254,4L Metal grey crystal,,,4
255,4L Gun Metal crystal,,,4
256,4L Metal grey Solai,,,4
257,"Brush 1"" ",brush,100,
258,"Brush 2"" ",brush,150,
259,"Brush 3"" ",brush,200,
260,"Brush 4"" ",brush,300,
